username, created_at, lng, lat, text
Psyolus, Wed Jan 20 23:58:30 +0000 2021, -122.194398, 47.481598, @wilddog117 I had a policy with them in the past. Never filed a claim with them or anything like that, though. :P 
YnotNyc, Wed Jan 20 23:58:30 +0000 2021, -73.754761, 40.706441, Just posted a photo @ YNOT Transport NYC https://t.co/jI8aJmsute 
JoeTillman_, Wed Jan 20 23:58:31 +0000 2021, -86.760091, 33.385555, @UnkleSamm Not at all! Lol 
anthonyramey5, Wed Jan 20 23:58:31 +0000 2021, -118.411907, 34.020789, @MysterySolvent They're probably raising money off of it 
TrevonDLogan, Wed Jan 20 23:58:31 +0000 2021, -82.985772, 39.994684, This is amazing news!!! Congratulations @janellecj!!! 
blane9171, Wed Jan 20 23:58:31 +0000 2021, -77.604684, 41.117936, @realJosephRich Before I started my internship, I was told to read “One up on Wall Street” Will always rely on the… https://t.co/XX30yBnfVL 
AXLtheSarcastic, Wed Jan 20 23:58:31 +0000 2021, -116.420847, 33.779235, Oh the tears taste like heavenly clouds!! Ahhh! 
jaiyaaaa, Wed Jan 20 23:58:31 +0000 2021, -90.011008, 29.982601, I can already tell i am going to love this public speaking class. 
_christiankeith, Wed Jan 20 23:58:31 +0000 2021, -80.846785, 35.209059, I know you lying 
CrazyRodman, Wed Jan 20 23:58:31 +0000 2021, -94.823168, 38.743236, Question:  the people dump pardoned, will the pardon for their past offenses become moot ?? 
sweet_child4, Wed Jan 20 23:58:31 +0000 2021, -100.366033, 25.650287, Eres casi el nene perfecto, el que yo imaginé en mis sueños, el que me hace vibrar, la piel y el esqueleto. Pero so… https://t.co/XDRcS4d991 
Bobby_Ashfaq, Wed Jan 20 23:58:31 +0000 2021, -118.411907, 34.020789, @bobbyhundreds take me under your wing. You won't be disappointed :3 
taytortot21, Wed Jan 20 23:58:31 +0000 2021, -85.170051, 41.086917, luv bug 🐞 https://t.co/zJFi4lzqAu 
CUTWRlGHT, Wed Jan 20 23:58:31 +0000 2021, -111.738566, 33.295215, @PlayWithJambo Mines out of date by a lot, but I always dug mine. https://t.co/RbzZ2KwtWe 
MgoKevin517, Wed Jan 20 23:58:31 +0000 2021, -86.270540, 45.001180, @Tori_Sachs @lynseymukomel @RickAlbinWoodTV "Do as I say........Not as I do" !!!! 
